timestamp,2a. high (CNY),1b. open (USD),4b. close (USD),5. volume,1a. open (CNY),3a. low (CNY),6. market cap (USD),4a. close (CNY),2b. high (USD),3b. low (USD)
2014-04-01,2918.63938797,453.42760964,461.29103486,5628.02114700,2813.95451515,2813.95451515,2596155.69911398,2859.93706764,470.55596761,453.42760964
2014-04-02,2972.41948322,462.04075834,413.37312703,10525.59405800,2864.58524377,2558.87846678,4350997.72964188,2562.46446439,479.54985419,412.79463899
2014-04-03,2678.98882261,413.70829180,427.27740581,10340.81626000,2564.54212197,2420.64274886,4418397.14556907,2649.92661579,431.96343156,390.36744285
2014-04-04,2748.74439444,427.61939265,434.89732508,7436.23866500,2652.04757986,2584.58428555,3234000.30403283,2697.61418018,443.05745396,416.40259954
2014-04-05,2814.36461940,435.22904073,453.63988680,4306.27892000,2699.67177125,2686.02914532,1953499.88180624,2814.36461940,453.63988680,433.02963743
2014-04-06,2872.92427621,454.79361916,456.91694054,2989.02288300,2821.52233114,2782.38716744,1365735.19091023,2835.03893782,463.09150114,448.49767214
2014-04-07,2836.93141501,456.90979993,442.43988993,2459.67786400,2834.99463238,2745.39880394,1088259.60340284,2745.39880394,457.20573579,442.43988993
2014-04-08,2842.02097930,442.25116162,446.40821650,2690.79253800,2744.22771948,2730.10764512,1201191.89785464,2764.39225524,458.01512975,439.97561457
2014-04-09,2790.35859990,447.44212562,439.04944542,2684.59832900,2770.79475921,2711.79595697,1178671.40750957,2719.36777113,450.72360107,437.83261023
2014-04-10,2730.69419246,438.91904412,374.37175164,9165.37085700,2718.56009657,2303.10145229,3431255.94220257,2322.32830708,440.94319648,371.27227976
2014-04-11,2683.06280886,376.70535906,430.63929606,9900.27204600,2336.80429931,2234.98738181,4263446.18471135,2670.90329053,432.61655927,360.24001014
2014-04-12,2754.27480152,429.98026115,424.67907953,4260.98165300,2666.81583603,2617.99881779,1809549.76628217,2634.18368137,444.03998694,422.06978048
2014-04-13,2670.99334372,425.81831997,414.70595777,3626.52296600,2641.25011981,2495.28109097,1503940.67997779,2572.23112070,430.62326605,402.29456042
2014-04-14,2935.77547502,415.81580779,463.95481673,9720.83183400,2579.11501210,2549.81922811,4510026.75205150,2881.16961893,472.74952166,411.05285485
2014-04-15,3272.91682076,463.54284073,524.47772671,10296.26319000,2878.61123888,2837.15478354,5400160.71146066,3258.17207235,526.85123306,456.55832436
2014-04-16,3422.33483224,526.07540989,528.45185029,11089.59508400,3268.09723500,3145.21059932,5860317.04115905,3283.10435510,550.80224372,506.26773820
2014-04-17,3336.19735206,531.21558060,496.25837376,7956.61124900,3300.27453814,3027.08791306,3948534.95906624,3081.85482007,536.99775364,487.43791475
2014-04-18,3090.98886767,496.17480525,478.91995009,4606.68814500,3081.33584443,2940.74564327,2206234.85649235,2978.07319378,497.56422323,473.44168803
2014-04-19,3174.03657171,477.57892432,505.74522267,5720.19693000,2969.73427849,2921.14872778,2892962.27005224,3145.06517256,510.40399630,469.73812392
2014-04-20,3207.81714262,505.61098035,498.72760671,5325.57806400,3144.23036325,3052.31546597,2656012.80220344,3098.30136865,515.82060233,490.81575793
2014-04-21,3195.51891290,497.76922425,500.45481747,4498.16792000,3092.34750194,3082.09694104,2251129.80536445,3109.90230491,514.35334520,495.59429262
2014-04-22,3170.19447737,500.51087732,498.54295711,3127.76098800,3110.25066933,3096.69814697,1559323.21208594,3103.75096966,509.97732387,497.41967856
2014-04-23,3115.71605813,497.64264473,495.00563678,2307.42059500,3098.14594531,3051.47869796,1142186.20093689,3082.00855074,500.36158404,490.04552613
2014-04-24,3140.23811312,495.93204654,503.62697192,3530.57024100,3087.77657154,3026.66287616,1778090.39963071,3140.11970983,503.64596199,485.60238251
2014-04-25,3135.79334886,502.93309007,449.35587552,11800.46395800,3135.79334886,2680.83796771,5302607.81335371,2803.05229399,502.93309007,429.70176282
2014-04-26,2842.43959791,451.76471458,451.32581933,3227.46559000,2818.07847305,2730.29867508,1456638.55177928,2815.13847953,455.70276196,437.72421695
2014-04-27,2821.05533514,450.41392001,426.87059313,2750.73759500,2809.45052027,2656.24685512,1174208.98873156,2662.40213427,452.27441555,425.88369952
2014-04-28,2721.30000783,425.04694983,431.78173421,4299.73639000,2651.02802724,2582.67284972,1856547.63509875,2692.86032630,436.31385863,414.20425017
2014-04-29,2772.42451169,431.81448036,443.09916189,3436.75845100,2693.06455177,2675.33009458,1522824.78926253,2764.77792521,444.32820821,429.02433215
2014-04-30,2813.33693074,442.55931172,448.26672752,4921.74828200,2761.40945611,2678.30128773,2206255.99603734,2797.15569064,450.48449397,428.86471044
2014-05-01,2841.15804217,447.97463267,451.82139077,2722.93312000,2795.33303749,2784.07205710,1230279.42925835,2819.63566761,455.28183153,446.12692962
2014-05-02,2823.75108600,451.82275627,440.34266216,1933.65046900,2819.64418912,2729.92925766,851468.79521597,2747.72324026,452.48084975,437.50156377
2014-05-03,2747.85286475,440.36343543,435.86447704,1884.00148600,2747.85286475,2660.69716023,821169.32244152,2719.91550707,440.36343543,426.37478014
2014-05-04,2722.89949801,434.89111570,432.45353935,1687.43560200,2713.84146170,2675.26795422,729737.49850356,2698.52997838,436.34839322,428.71537276
2014-05-05,2715.65399147,431.83289865,424.63945852,1393.57844300,2694.65715186,2642.61279522,591768.39544074,2644.96283591,435.19775198,424.27306626
2014-05-06,2706.71581315,424.55952309,429.92095720,3308.59512900,2644.46494002,2581.58427647,1422434.38483087,2670.85514187,435.31637461,415.03816353
2014-05-07,2759.51628821,430.54845163,440.07493834,3312.13947300,2674.75340901,2650.41578768,1457589.57434641,2736.94090108,443.94898264,426.58501571
2014-05-08,2790.58880452,439.90574314,437.12190501,2925.59473500,2735.88863200,2716.07881285,1278841.54383782,2716.07881285,448.88515059,437.12190501
2014-05-09,2815.57926939,436.56754604,452.33444061,2767.29336100,2712.63427572,2710.71747264,1251742.09444108,2810.32312074,453.17752428,436.25905845
2014-05-10,2830.02320502,452.54483472,452.42166962,1887.40069600,2811.63028508,2781.31595152,853900.97412083,2811.18764531,455.45299177,447.61423472
2014-05-11,2811.41294087,452.19365782,436.45354816,2134.69697600,2809.77086094,2687.50412165,931696.06942980,2712.09877980,452.42727400,432.48721878
2014-05-12,2734.31227262,435.20353128,438.25846660,1804.66105800,2704.33124241,2681.20404558,790907.98801170,2726.72409636,440.02832864,431.31928704
2014-05-13,2726.66956860,438.24970251,435.55498840,1524.60625500,2726.66956860,2694.97207634,664049.85971150,2707.43811897,438.24970251,432.97836393
2014-05-14,2754.76648358,435.55526563,441.24183491,1899.86275600,2707.43984222,2705.71900067,838298.92852756,2743.06723258,443.12374247,435.27422641
2014-05-15,2784.31944209,440.93361987,446.76149564,2030.03657900,2741.15115278,2740.29671573,906942.17822908,2777.94689645,447.80796165,440.79617761
2014-05-16,2807.30428681,446.59624001,448.20761752,2798.09249500,2776.91934293,2743.78966427,1254126.37077586,2788.42463850,451.30033986,441.29337568
2014-05-17,2794.85841111,448.18201403,446.78174553,1171.44845400,2788.26535208,2778.01227526,523381.78507703,2779.50027724,449.25043888,446.54256148
2014-05-18,2784.10707407,446.58842625,445.82718293,1067.94717800,2778.29760724,2759.84296586,476119.88188475,2773.14761807,447.52225013,443.62762830
2014-05-19,2773.41407486,445.57075132,444.37227184,1091.33896902,2771.55255448,2752.06850775,484960.77701124,2765.51084029,445.87002006,442.21230929
2014-05-20,3027.57271371,444.10824655,485.12800480,6814.23665418,2763.86770267,2763.86770267,3305777.03225633,3019.35083420,486.41074344,444.10824655
2014-05-21,3076.99577891,483.91588959,490.70755555,4383.41248313,3011.80684373,3002.62822656,2150973.62456533,3052.51161341,494.33677231,482.44888575
2014-05-22,3250.79138416,490.69250548,522.27184406,8526.06802510,3052.41799245,3038.58171336,4452925.27000859,3249.46991480,522.51111137,488.46157523
2014-05-23,3368.99583797,523.26156711,520.14148921,9770.64926958,3255.62777173,3226.79449430,5082120.06160666,3236.01866379,541.40766778,518.64383668
2014-05-24,3265.44046113,519.62805374,522.51670686,3931.26196312,3232.82436608,3192.87127638,2054150.05478967,3251.08902229,524.82327753,513.15992067
2014-05-25,3575.42686047,522.86387200,573.35295903,9404.70276398,3253.24907720,3249.66984664,5392214.15854835,3567.89748806,574.62662736,522.28861622
2014-05-26,3655.51118739,571.62427036,583.65084118,14596.35405714,3557.14009356,3516.87437411,8519174.32361201,3633.67823210,587.44549612,565.15366142
2014-05-27,3659.65611632,583.48267803,569.27635602,15057.27568380,3632.63128630,3486.86538610,8571751.03287369,3548.60978269,587.60724500,559.42861091
2014-05-28,3622.96652952,569.28325157,572.38894431,11871.01541238,3548.65276644,3528.03322947,6794837.97975883,3568.50106201,580.33120824,565.65291484
2014-05-29,3580.30519327,571.95493614,567.63962817,11205.91179014,3565.79528189,3498.49896968,6360919.60181307,3533.94438320,574.11657217,561.90920529
2014-05-30,3813.86540615,567.60305441,610.65141877,16007.27703484,3533.71668657,3527.64806814,9774866.43198948,3805.65597321,611.96869545,566.62828289
2014-05-31,3910.51908344,611.04111391,627.08932725,11782.33800476,3808.08460206,3781.61120743,7388578.41287070,3907.94230127,627.50281150,606.81756412
2014-06-01,4181.62294443,629.17482990,640.39077300,18638.63818279,3920.93889310,3890.03061483,11936011.91360975,3990.92938595,671.01452430,624.21512223
2014-06-02,4112.40790380,641.41684210,651.14489176,13277.65322082,3997.32387116,3904.14864962,8645676.06929030,4058.19672569,659.84105438,626.44569619
2014-06-03,4178.27270385,651.47468445,663.18852596,18674.26495620,4060.25212633,4042.40887947,12384558.24969102,4136.97068813,670.47702721,648.45573895
2014-06-04,4133.01921666,662.30364869,639.63284131,17493.20805366,4131.45082281,3888.76194698,11189230.37107638,3988.06727057,662.55507440,623.45960411
2014-06-05,4151.75472114,642.69156928,656.97978257,17718.69391791,4007.13823143,3997.27641107,11640823.67759804,4099.16819610,665.71091546,641.11603431
2014-06-06,4127.08617232,657.18990195,653.33599639,13627.30134593,4100.47921768,4061.65043056,8903206.50297584,4073.78971181,661.93864458,651.39208044
2014-06-07,4105.60597353,653.14507741,652.62981886,11245.19407947,4072.59926192,4018.75376743,7338948.97516812,4068.27761769,658.61800364,644.68524269
2014-06-08,4097.77867177,652.71790851,653.53399042,9011.87086510,4068.82673932,4061.42491342,5889563.92758367,4073.22117694,657.43301566,651.64132149
2014-06-09,4080.53507196,653.58593457,648.67161737,15928.25876641,4073.54492448,4014.55475297,10332209.37586851,4037.40220304,654.61715244,645.08580560
2014-06-10,4103.56730552,648.67576347,655.98940545,12184.68841781,4037.42800885,4016.11566321,7993026.51083697,4075.56246569,660.29079440,646.01239793
2014-06-11,4093.04816975,656.04885327,645.81433766,13810.50093798,4075.93180592,4011.42990556,8919019.51602592,4011.42990556,659.07106850,645.81433766
2014-06-12,4013.68785196,645.51262648,603.26618421,16263.98807094,4009.55584797,3714.82134408,9811514.02367074,3743.26365672,646.18201371,598.68433702
2014-06-13,3864.69110062,601.84232434,617.30361436,82338.37167546,3734.42861333,3727.76299715,50827774.43547368,3827.92934320,623.40283214,601.04192553
2014-06-14,3831.57358297,616.94581710,589.03288418,85376.88287720,3825.71062522,3540.33523729,50289791.56380688,3652.61529808,617.89129563,570.92622837
2014-06-15,3679.94391583,588.72491606,593.24374666,78478.26368530,3650.70557601,3511.28035683,46556739.17973181,3677.85494797,593.58070043,566.21243588
2014-06-16,3785.59704567,594.76374055,600.44182662,84386.00241494,3687.27825346,3664.60600187,50668885.43090241,3729.16885610,609.52745575,591.20012523
2014-06-17,3787.80106081,600.04011191,609.67113225,50964.08584425,3726.67392335,3714.48095553,31071331.92073494,3786.64667358,609.92891258,597.98273054
2014-06-18,3832.57941067,609.94919596,609.64930405,58381.27257367,3788.37371785,3773.37632223,35592102.19412976,3790.32567508,616.69947520,607.03441737
2014-06-19,3820.97293920,609.20648224,604.85224331,51452.56355975,3787.57255311,3751.22541801,31121198.49324303,3759.79723071,614.72940360,603.47326465
2014-06-20,3759.53043911,604.34643722,594.45252781,56240.63918110,3756.65311017,3469.12061316,33432390.12666816,3693.15403060,604.94274839,558.13861583
2014-06-21,3740.59117116,595.45982705,598.24763443,43547.67950245,3699.41207662,3659.68922125,26052296.24704430,3716.90657021,602.05974437,589.03832474
2014-06-22,3787.25493723,598.51535192,607.73054176,53859.93654052,3718.56989633,3713.74885209,32732328.41304204,3775.52599070,609.55374354,597.73938990
2014-06-23,3778.01125338,607.49495144,595.04107824,59290.01501310,3774.06238584,3652.74571783,35279994.46216088,3697.09732649,608.13058405,587.93115557
2014-06-24,3718.54732692,594.99804566,590.21923335,47249.45801215,3696.82995736,3663.94248005,27887538.88405010,3669.86455889,598.05170101,589.70486612
