event_date,device_id,event_id,event_value
2017-05-05 08:15:31,pVhEwJhCYm,2,
2017-02-17 00:35:07,xjMZKTJnxA,2,
2017-09-22 23:50:17,JLosSTdslk,2,
2017-04-15 20:36:23,fsLcbbiXZw,1,69.4339575203
2017-01-31 19:47:52,uVYmSSAYKs,2,
2017-10-13 01:57:56,yYxNpaMBRv,2,
2017-10-16 12:26:56,xjMZKTJnxA,2,
2017-07-31 07:58:18,BQVAfGTlmk,1,54.4500407192
2017-03-17 03:02:54,yVkCVLCPNo,2,
2017-04-18 19:27:08,MVPAYdkCml,1,97.0026500314
2017-10-07 00:34:56,tHjFgYzzVM,2,
2017-07-23 20:53:46,JLosSTdslk,2,
2017-04-16 23:05:38,wtcOqDsolH,2,
2017-08-04 15:28:41,vxLkDcSABY,1,35.9084685363
2017-09-11 06:41:40,qbYlkrWkSF,2,
2017-03-02 17:19:12,aXZTfWzncw,2,
2017-01-29 19:18:56,BzzlZXqjNG,2,
2017-12-09 15:49:31,mEFDYBkZSB,2,
2017-02-12 01:31:42,LsvqAoVjYj,2,
2017-08-02 00:49:10,fOreRDxxKJ,1,80.6063825991
2017-10-23 07:17:56,tHjFgYzzVM,1,7.19626682894
2017-01-29 01:04:16,jSjtepIhkg,1,0.126155293144
2017-12-19 22:44:41,fjEmyZoUec,1,5.75892626161
2017-04-15 01:11:25,uVYmSSAYKs,1,5.4562810404
2017-01-28 17:17:59,akJCrpiQBb,2,
2017-12-25 13:29:30,JLosSTdslk,2,
2017-06-29 19:43:29,KcGmNJatIW,2,
2017-09-15 01:59:49,EQIqPtVVAt,1,53.0146077449
2017-07-05 06:15:44,LZGofzSsoj,2,
2017-08-12 19:38:00,jSjtepIhkg,2,
2017-11-06 23:41:14,xiZRPONgbK,2,
2017-02-09 19:37:13,fOreRDxxKJ,2,
2017-08-16 18:06:56,mEFDYBkZSB,1,1.97188705703
2017-12-18 14:32:40,BkpVRngcvN,1,56.4346427213
2017-08-13 02:18:17,BQVAfGTlmk,2,
2017-09-13 12:14:15,KvnyEMYCLn,2,
2017-03-01 06:24:22,hXZMuAswkh,2,
2017-10-13 18:10:39,KcGmNJatIW,2,
2017-03-09 05:53:16,xpedRuawsA,2,
2017-02-04 10:03:19,AmJEmwhynS,2,
2017-03-26 13:43:19,NKwkHPdkLy,1,0.601721820459
2017-01-20 02:13:58,jSjtepIhkg,2,
2017-12-14 19:02:10,yXOYqeKVqc,1,38.7060469533
2017-12-26 08:04:36,aAZKibToFK,1,66.7502160171
2017-07-14 02:37:39,exeRWOtOiR,1,3.4997314896
2017-07-12 16:20:15,vyjtCWKGyJ,1,6.67767334427
2017-01-30 10:34:57,wtcOqDsolH,2,
2017-06-13 22:32:58,uVYmSSAYKs,1,29.1076868948
2017-03-08 01:33:40,ufzSoKINSK,2,
2017-08-20 03:38:56,uVYmSSAYKs,2,
2017-01-13 05:06:03,hXZMuAswkh,2,
2017-05-26 01:49:18,pZNxDswcgf,2,
2017-05-24 12:39:55,zHAPuqHqFj,2,
2017-07-26 03:44:49,nXJEhxUecR,1,15.5876945735
2017-07-25 08:34:52,XErhyEkyRs,1,9.84112162249
